study_id,authors,year,title,venue,doi,problem_type,iac_languages,cloud_providers,artifact_granularity,primary_technique,closed_vs_open,prompting_method,finetuning_used,finetuning_technique,rag_knowledge_injection,knowledge_source,multi_agent_verifier,tool_use_external_verifier,deployability_tested,security_tested,security_scanner,failure_categories,reproducibility_level,single_vs_multi_file,synthetic_vs_realworld,provider_docs_used,module_reuse_state,org_policy_context,rigor_clarity,rigor_dataset,rigor_reproducibility,rigor_evaluation,rigor_code_data,rigor_validity,validation_security,validation_deployment
C01,"Kon, Liu, Qiu, Fan, He, Lin, Zhang, Park, Elengikal, Kang, Chen, Chowdhury, Lee, Wang",2024,IaC-Eval: A Code Generation Benchmark for Cloud Infrastructure-as-Code Programs,NeurIPS 2024 (D&B),10.48550/arXiv.2410.15267,generation,"Terraform, CloudFormation",AWS,single_resource,benchmark_only,both,mixed,no,N/A,no,N/A,no,yes,full_deployment,yes,Checkov,"syntactic, semantic, provider_api_mismatch",full,single_file,realworld,yes,absent,absent,1,1,1,1,1,1,1,1
C02,"Jana, et al.",2026,TerraFormer: Automated IaC with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,arXiv / ICSE 2026 SEIP,10.48550/arXiv.2601.08734,"generation, repair",Terraform,AWS,module,finetuning,both,not_specified,yes,policy-guided,no,N/A,no,yes,plan_level,yes,"Checkov, OPA","syntactic, semantic, deployability, security_governance",full,single_file,mixed,not_specified,present,present,1,1,1,1,1,1,1,1
C03,"Khan, Wasif, et al.",2025,Multi-Agent Code-Orchestrated Generation for Reliable IaC (MACOG),arXiv,10.48550/arXiv.2510.03902,generation,Terraform,AWS,full_stack,multi_agent,closed_api,mixed,no,N/A,yes,"provider_docs, API_schemas",yes,yes,plan_level,yes,OPA,"syntactic, semantic, dependency, deployability, security_governance",partial,multi_file,realworld,yes,present,present,1,0.5,0.5,1,0.5,0.5,1,1
C04,"Nekrasov, et al.",2025,IaC Generation with LLMs: An Error Taxonomy and Configuration Knowledge Injection,arXiv,10.48550/arXiv.2512.14792,generation,Terraform,AWS,single_resource,rag,closed_api,retrieval-augmented,no,N/A,yes,"provider_docs, API_schemas",no,yes,plan_level,no,none,"syntactic, semantic, dependency, provider_api_mismatch, llm_reasoning",partial,single_file,realworld,yes,absent,absent,1,1,0.5,1,0.5,1,0,0.5
C07,"Zhang, Pan, et al.",2025,Deployability-Centric IaC Generation (IaCGen),ESEC/FSE 2026,10.48550/arXiv.2506.05623,generation,CloudFormation,AWS,full_stack,verifier_guided,both,structured,no,N/A,no,N/A,no,yes,full_deployment,yes,Checkov,"syntactic, semantic, provider_api_mismatch, deployability",full,single_file,mixed,yes,absent,absent,1,1,1,1,1,1,1,1
C10,"Munshi, et al.",2025,ACSE-Eval: Can LLMs Threat Model Real-World Cloud Infrastructure?,ESORICS 2025 Workshops (Springer LNCS),10.48550/arXiv.2505.11565,validation,CDK,AWS,full_stack,prompting,both,mixed,no,N/A,no,N/A,no,no,not_tested,yes,custom,"security_governance, llm_reasoning",full,multi_file,realworld,not_specified,not_specified,present,1,1,1,1,1,1,1,0
C13,War et al.,2025,Security Smells in IaC Scripts: A Taxonomy,arXiv,10.48550/arXiv.2509.18761,validation,"Terraform, Ansible, Other",not_specified,not_specified,prompting,closed_api,structured,no,N/A,no,N/A,no,yes,not_tested,yes,custom,security_governance,partial,not_specified,realworld,not_specified,not_specified,absent,1,1,0.5,1,0.5,0.5,1,0
C18,"Pahl, Barzegar, El Ioini",2026,Artificial Intelligence for Infrastructure-as-Code: A Systematic Literature Review,Electronics (MDPI),10.3390/electronics15040755,mixed,"Terraform, CloudFormation, Ansible, Other",not_specified,not_specified,survey,both,not_specified,no,N/A,no,N/A,no,not_reported,not_tested,no,none,not_reported,partial,not_specified,not_specified,not_specified,not_specified,not_specified,1,0.5,0.5,0.5,0,0.5,0,0
C19,"Esposito, Robredo, Bakhtin, et al.",2026,Generative AI as an infrastructure copilot: automating IaC across the DevSecOps lifecycle,Automated Software Engineering (Springer),10.1007/s10515-026-00600-5,generation,"Terraform, Ansible, K8s_YAML, Helm",not_specified,full_stack,prompting,both,not_specified,no,N/A,no,N/A,no,not_reported,not_tested,no,none,not_reported,none,not_specified,not_specified,not_specified,not_specified,present,1,0,0,0,0,0.5,0,0
C29,"Vo, et al.",2025,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,IEEE COMPSAC 2025,10.1109/COMPSAC65538.2025.00067,validation,Terraform,not_specified,not_specified,prompting,closed_api,structured,no,N/A,no,N/A,no,yes,not_tested,no,none,not_reported,partial,not_specified,mixed,not_specified,not_specified,absent,1,1,0.5,1,0.5,0.5,0,0
