study_id,authors,year,title,venue,doi,module_reuse_state,org_policy_context,provider_docs_used,tool_use_external_verifier,rigor_clarity,rigor_dataset,rigor_reproducibility,rigor_evaluation,rigor_code_data,rigor_validity,validation_security,validation_deployment,iac_languages,cloud_providers,failure_categories,security_scanner,knowledge_source,prompting_method,synthetic_vs_realworld,deployability_tested
C01,"Kon, Liu, Qiu, Fan, He, Lin, Zhang, Park, Elengikal, Kang, Chen, Chowdhury, Lee, Wang",2024,IaC-Eval: A Code Generation Benchmark for Cloud Infrastructure-as-Code Programs,NeurIPS 2024 (D&B),10.48550/arXiv.2410.15267,absent,absent,no,yes,1,1,1,1,1,1,1,1,"Terraform, CloudFormation",AWS,"syntactic, semantic, provider_api_mismatch",Checkov,N/A,mixed,synthetic,full_deployment
C02,"Jana, et al.",2026,TerraFormer: Automated IaC with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,arXiv / ICSE 2026 SEIP,10.48550/arXiv.2601.08734,present,present,no,yes,1,1,0.5,1,0.5,0.5,1,0.5,Terraform,AWS,"syntactic, semantic, deployability, security_governance","Checkov, OPA",N/A,not_specified,mixed,plan_level
C03,"Khan, Wasif, et al.",2025,Multi-Agent Code-Orchestrated Generation for Reliable IaC (MACOG),arXiv,10.48550/arXiv.2510.03902,present,present,no,yes,1,1,0.5,1,0.5,0,1,1,Terraform,AWS,"syntactic, semantic, dependency, deployability, security_governance",OPA,API_schemas,zero-shot,synthetic,full_deployment
C04,"Nekrasov, et al.",2025,IaC Generation with LLMs: An Error Taxonomy and Configuration Knowledge Injection,arXiv,10.48550/arXiv.2512.14792,absent,absent,yes,yes,1,1,0.5,1,1,1,0,1,Terraform,AWS,"syntactic, semantic, dependency, provider_api_mismatch, llm_reasoning",none,"provider_docs, API_schemas",retrieval-augmented,synthetic,full_deployment
C07,"Zhang, Pan, et al.",2025,Deployability-Centric IaC Generation (IaCGen),ESEC/FSE 2026,10.48550/arXiv.2506.05623,absent,absent,no,yes,1,1,1,1,1,0.5,1,1,"CloudFormation, Terraform",AWS,"semantic, syntactic, deployability, provider_api_mismatch",Checkov,N/A,structured,mixed,full_deployment
C10,"Munshi, et al.",2025,ACSE-Eval: Can LLMs Threat Model Real-World Cloud Infrastructure?,ESORICS 2025 Workshops (Springer LNCS),10.48550/arXiv.2505.11565,absent,absent,no,no,1,1,1,1,1,1,1,0,CDK,AWS,"security_governance, llm_reasoning",custom,N/A,mixed,synthetic,not_tested
C13,War et al.,2025,Security Smells in IaC Scripts: A Taxonomy,arXiv,10.48550/arXiv.2509.18761,absent,absent,no,yes,1,1,0.5,1,0,0.5,1,0,"Terraform, Ansible, Pulumi, Other",not_specified,security_governance,custom,N/A,structured,realworld,not_tested
C18,"Pahl, Barzegar, El Ioini",2026,Artificial Intelligence for Infrastructure-as-Code: A Systematic Literature Review,Electronics (MDPI),10.3390/electronics15040755,absent,absent,no,no,1,1,0.5,0.5,0,0.5,0,0,"Terraform, CloudFormation, Ansible, Pulumi, Other",not_specified,not_reported,none,N/A,not_specified,not_specified,not_tested
C19,"Esposito, Robredo, Bakhtin, et al.",2026,Generative AI as an infrastructure copilot: automating IaC across the DevSecOps lifecycle,Automated Software Engineering (Springer),10.1007/s10515-026-00600-5,absent,absent,no,no,1,0,0,0,0,0.5,0,0,"Terraform, Ansible, K8s_YAML, Helm",not_specified,not_reported,none,N/A,not_specified,not_specified,not_tested
C29,"Vo, et al.",2025,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,IEEE COMPSAC 2025,10.1109/COMPSAC65538.2025.00067,absent,absent,no,yes,1,1,0.5,1,0,0,0,0,Terraform,not_specified,not_reported,none,N/A,structured,mixed,not_tested
