study_id,problem_type,iac_languages,cloud_providers,artifact_granularity,primary_technique,closed_vs_open,prompting_method,finetuning_used,finetuning_technique,rag_knowledge_injection,knowledge_source,multi_agent_verifier,tool_use_external_verifier,deployability_tested,security_tested,security_scanner,failure_categories,reproducibility_level,single_vs_multi_file,synthetic_vs_realworld,provider_docs_used,module_reuse_state,org_policy_context,rigor_clarity,rigor_dataset,rigor_reproducibility,rigor_evaluation,rigor_code_data,rigor_validity,validation_security,validation_deployment
C01,generation,"Terraform, CloudFormation",AWS,single_resource,benchmark_only,both,zero-shot,no,N/A,no,N/A,no,no,static_only,no,"none, Checkov","syntactic, semantic, provider_api_mismatch",full,single_file,synthetic,no,absent,absent,1,1,1,1,1,0.5,0,0
C02,"generation, mutation",Terraform,AWS,"single_resource, module",finetuning,both,mixed,yes,SFT + RL (policy-guided),no,N/A,no,yes,plan_level,yes,"Checkov, tfsec, OPA","syntactic, semantic, deployability, security_governance",full,single_file,mixed,yes,absent,absent,1,1,1,1,1,1,1,0.5
C03,generation,Terraform,AWS,"single_resource, module",multi_agent,closed_api,mixed,no,N/A,no,"N/A, API_schemas",yes,yes,plan_level,yes,OPA,"security_governance, semantic, syntactic, dependency, deployability",partial,single_file,synthetic,no,absent,absent,1,0.5,0.5,1,0.5,0.5,0.5,0.5
C04,generation,Terraform,AWS,single_resource,rag,closed_api,"zero-shot, retrieval-augmented",no,N/A,yes,"API_schemas, API_schemas (Naive RAG + Graph RAG), provider_docs",no,no,static_only,no,none,"llm_reasoning, provider_api_mismatch, semantic, syntactic, dependency",partial,single_file,synthetic,yes,absent,absent,1,1,0.5,1,0.5,0.5,0,0
C07,generation,"CloudFormation, Terraform",AWS,single_resource,verifier_guided,both,mixed,no,N/A,no,N/A,no,yes,full_deployment,yes,Checkov,"deployability, security_governance, semantic, syntactic, provider_api_mismatch",partial,single_file,realworld,no,absent,absent,1,1,0.5,1,0.5,0.5,0.5,1
C10,validation,CDK,AWS,full_stack,prompting,both,zero-shot,no,N/A,no,N/A,no,no,not_tested,yes,custom,"security_governance, llm_reasoning",partial,multi_file,realworld,no,absent,present,1,1,0.5,1,0.5,0.5,1,0
C13,validation,"Ansible, Chef, Pulumi, Puppet, SaltStack, Terraform, Vagrant, Other","cloud-agnostic, not_specified",not_specified,prompting,closed_api,mixed,no,N/A,no,N/A,no,yes,not_tested,yes,"Terrascan, custom","llm_reasoning, security_governance",partial,single_file,realworld,no,absent,absent,1,1,0.5,1,0.5,0.5,1,0
C18,mixed,"Ansible, Chef, CloudFormation, DOML, Heat, Pulumi, Puppet, TOSCA, Terraform, Other","multi-cloud, not_specified",not_specified,survey,N/A,N/A,no,N/A,no,N/A,no,no,not_tested,no,none,not_reported,partial,not_specified,not_specified,no,absent,absent,1,0.5,0.5,0.5,0.5,0.5,0,0
C19,generation,"not_specified, Ansible, Helm, K8s_YAML, Terraform",not_specified,not_specified,prompting,not_specified,not_specified,no,N/A,no,N/A,no,no,not_tested,not_specified,"not_specified, none",not_reported,not_specified,not_specified,not_specified,no,absent,absent,0.5,0.5,0.5,0.5,0.5,0.5,0,0
C29,validation,Terraform,not_specified,single_resource,prompting,both,zero-shot,no,N/A,no,N/A,no,yes,not_tested,no,none,"semantic, not_reported",partial,single_file,realworld,no,absent,absent,1,0.5,0.5,1,0.5,0.5,0,0
