model_a,model_b,p_raw,p_holm,significant_0.05
gemini-2.5-pro,qwen3-coder,9.20464e-09,1.93297e-07,True
gemini-2.5-pro,llama-3.3-70b,1.44101e-08,2.88202e-07,True
gemini-2.5-pro,gpt-5,1.56093e-08,2.96577e-07,True
deepseek-v4-flash,gemini-2.5-pro,2.51356e-07,4.52441e-06,True
gemini-2.5-pro,grok-4-3,4.68908e-07,7.97144e-06,True
claude-opus-4-7,gemini-2.5-pro,6.57428e-05,0.00105189,True
claude-opus-4-7,llama-3.3-70b,0.0014682,0.022023,True
claude-opus-4-7,gpt-5,0.00549255,0.0768957,False
claude-opus-4-7,qwen3-coder,0.00664608,0.0863991,False
claude-opus-4-7,deepseek-v4-flash,0.0239596,0.287516,False
grok-4-3,llama-3.3-70b,0.036902,0.405922,False
claude-opus-4-7,grok-4-3,0.0513047,0.513047,False
deepseek-v4-flash,gpt-5,0.666037,1,False
deepseek-v4-flash,grok-4-3,0.444813,1,False
deepseek-v4-flash,llama-3.3-70b,0.174946,1,False
deepseek-v4-flash,qwen3-coder,0.6502,1,False
gpt-5,grok-4-3,0.229729,1,False
gpt-5,llama-3.3-70b,0.199354,1,False
gpt-5,qwen3-coder,0.740428,1,False
grok-4-3,qwen3-coder,0.152956,1,False
llama-3.3-70b,qwen3-coder,0.31603,1,False
