study_id,field,author,ayza,consensus,rule
C01,iac_languages,Terraform,"Terraform, CloudFormation","Terraform, CloudFormation",union (both partially complete)
C01,prompting_method,zero-shot,mixed,zero-shot,author (full-text extraction reference)
C01,tool_use_external_verifier,no,yes,no,author (full-text extraction reference)
C01,deployability_tested,static_only,full_deployment,static_only,author (full-text extraction reference)
C01,security_tested,no,yes,no,author (full-text extraction reference)
C01,security_scanner,none,Checkov,"none, Checkov",union (both partially complete)
C01,rigor_validity,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C01,validation_security,0,1,0,"author (anchored rubric; subjective score, author full-text read)"
C01,validation_deployment,0,1,0,"author (anchored rubric; subjective score, author full-text read)"
C02,problem_type,"generation, mutation","generation, repair","generation, mutation",author (full-text extraction reference)
C02,artifact_granularity,"single_resource, module",module,"single_resource, module",author (full-text extraction reference)
C02,prompting_method,mixed,not_specified,mixed,author (full-text extraction reference)
C02,finetuning_technique,SFT + RL (policy-guided),policy-guided,SFT + RL (policy-guided),author (full-text extraction reference)
C02,security_scanner,"Checkov, tfsec","Checkov, OPA","Checkov, tfsec, OPA",union (both partially complete)
C02,provider_docs_used,yes,no,yes,author (full-text extraction reference)
C02,module_reuse_state,absent,present,absent,author (full-text extraction reference)
C02,org_policy_context,absent,present,absent,author (full-text extraction reference)
C02,rigor_reproducibility,1,0.5,1,"author (anchored rubric; subjective score, author full-text read)"
C02,rigor_code_data,1,0.5,1,"author (anchored rubric; subjective score, author full-text read)"
C02,rigor_validity,1,0.5,1,"author (anchored rubric; subjective score, author full-text read)"
C03,artifact_granularity,"single_resource, module",full_stack,"single_resource, module",author (full-text extraction reference)
C03,prompting_method,mixed,zero-shot,mixed,author (full-text extraction reference)
C03,rag_knowledge_injection,no,yes,no,author (full-text extraction reference)
C03,knowledge_source,N/A,API_schemas,"N/A, API_schemas",union (both partially complete)
C03,deployability_tested,plan_level,full_deployment,plan_level,author (full-text extraction reference)
C03,failure_categories,"syntactic, semantic, security_governance","syntactic, semantic, dependency, deployability, security_governance","security_governance, semantic, syntactic, dependency, deployability",union (both partially complete)
C03,single_vs_multi_file,single_file,multi_file,single_file,author (full-text extraction reference)
C03,module_reuse_state,absent,present,absent,author (full-text extraction reference)
C03,org_policy_context,absent,present,absent,author (full-text extraction reference)
C03,rigor_dataset,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C03,rigor_validity,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C03,validation_security,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C03,validation_deployment,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C04,prompting_method,"zero-shot, retrieval-augmented",retrieval-augmented,"zero-shot, retrieval-augmented",author (full-text extraction reference)
C04,knowledge_source,"provider_docs, API_schemas (Naive RAG + Graph RAG)","provider_docs, API_schemas","API_schemas, API_schemas (Naive RAG + Graph RAG), provider_docs",union (both partially complete)
C04,tool_use_external_verifier,no,yes,no,author (full-text extraction reference)
C04,deployability_tested,static_only,full_deployment,static_only,author (full-text extraction reference)
C04,failure_categories,"syntactic, semantic, provider_api_mismatch, llm_reasoning","syntactic, semantic, dependency, provider_api_mismatch, llm_reasoning","llm_reasoning, provider_api_mismatch, semantic, syntactic, dependency",union (both partially complete)
C04,rigor_code_data,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C04,rigor_validity,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C04,validation_deployment,0,1,0,"author (anchored rubric; subjective score, author full-text read)"
C07,iac_languages,CloudFormation,"CloudFormation, Terraform","CloudFormation, Terraform",union (both partially complete)
C07,artifact_granularity,single_resource,full_stack,single_resource,author (full-text extraction reference)
C07,prompting_method,mixed,structured,mixed,author (full-text extraction reference)
C07,failure_categories,"syntactic, semantic, deployability, security_governance","semantic, syntactic, deployability, provider_api_mismatch","deployability, security_governance, semantic, syntactic, provider_api_mismatch",union (both partially complete)
C07,reproducibility_level,partial,full,partial,author (full-text extraction reference)
C07,synthetic_vs_realworld,realworld,mixed,realworld,author (full-text extraction reference)
C07,rigor_reproducibility,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C07,rigor_code_data,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C07,validation_security,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C10,prompting_method,zero-shot,mixed,zero-shot,author (full-text extraction reference)
C10,reproducibility_level,partial,full,partial,author (full-text extraction reference)
C10,synthetic_vs_realworld,realworld,synthetic,realworld,author (full-text extraction reference)
C10,org_policy_context,present,absent,present,author (full-text extraction reference)
C10,rigor_reproducibility,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C10,rigor_code_data,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C10,rigor_validity,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C13,iac_languages,"Ansible, Terraform, Chef, Puppet, Pulumi, SaltStack, Vagrant","Terraform, Ansible, Pulumi, Other","Ansible, Chef, Pulumi, Puppet, SaltStack, Terraform, Vagrant, Other",union (both partially complete)
C13,cloud_providers,cloud-agnostic,not_specified,"cloud-agnostic, not_specified",union (both partially complete)
C13,prompting_method,mixed,structured,mixed,author (full-text extraction reference)
C13,security_scanner,"Terrascan, custom",custom,"Terrascan, custom",union (both partially complete)
C13,failure_categories,"security_governance, llm_reasoning",security_governance,"llm_reasoning, security_governance",union (both partially complete)
C13,single_vs_multi_file,single_file,not_specified,single_file,author (full-text extraction reference)
C13,rigor_code_data,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C18,iac_languages,"Chef, Puppet, Ansible, Pulumi, Heat, DOML, Terraform, TOSCA, CloudFormation","Terraform, CloudFormation, Ansible, Pulumi, Other","Ansible, Chef, CloudFormation, DOML, Heat, Pulumi, Puppet, TOSCA, Terraform, Other",union (both partially complete)
C18,cloud_providers,multi-cloud,not_specified,"multi-cloud, not_specified",union (both partially complete)
C18,closed_vs_open,N/A,both,N/A,author (full-text extraction reference)
C18,prompting_method,N/A,not_specified,N/A,author (full-text extraction reference)
C18,rigor_dataset,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C18,rigor_code_data,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
