study_id,authors,year,title,venue,venue_type,doi,problem_type,iac_languages,cloud_providers,artifact_granularity,primary_technique,model_types,model_versions,num_models_tested,closed_vs_open,prompting_method,finetuning_used,finetuning_dataset_size,finetuning_technique,rag_knowledge_injection,knowledge_source,multi_agent_verifier,agent_architecture,tool_use_external_verifier,dataset_benchmark,dataset_size,evaluation_metrics,deployability_tested,security_tested,security_scanner,failure_categories,reproducibility_level,single_vs_multi_file,synthetic_vs_realworld,provider_docs_used,module_reuse_state,org_policy_context,key_findings,threats_limitations,rigor_clarity,rigor_dataset,rigor_reproducibility,rigor_evaluation,rigor_code_data,rigor_validity,rigor_total,validation_security,validation_deployment,validation_total,notes
C01,"Kon, Liu, Qiu, Fan, He, Lin, Zhang, Park, Elengikal, Kang, Chen, Chowdhury, Lee, Wang",2024,IaC-Eval: A Code Generation Benchmark for Cloud Infrastructure-as-Code Programs,NeurIPS 2024 (D&B),conference,10.48550/arXiv.2410.15267,generation,Terraform,AWS,single_resource,benchmark_only,"GPT-4, GPT-3.5, Claude, CodeLlama, StarCoder",not_reported,5+,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,no,IaC-Eval,458 scenarios,"pass@1, pass@5, intent_compliance",static_only,no,none,"syntactic, semantic, provider_api_mismatch",full,single_file,synthetic,no,absent,absent,GPT-4 achieves 19.36% pass@1 vs 86.6% on EvalPlus. Foundational benchmark establishing IaC generation gap.,yes,1,1,1,1,1,0.5,5.5,0,0,0,Foundational benchmark. GitHub: autoiac-project/iac-eval. NeurIPS D&B track.
C02,"Jana, et al.",2026,TerraFormer: Automated IaC with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,arXiv / ICSE 2026 SEIP,conference,10.48550/arXiv.2601.08734,"generation, mutation",Terraform,AWS,"single_resource, module",finetuning,"Sonnet 3.7, DeepSeek-R1, GPT-4.1, CodeLlama, custom fine-tuned",not_reported,17,both,mixed,yes,"TF-Gen 152k, TF-Mutn 52k",SFT + RL (policy-guided),no,N/A,no,N/A,"yes - tflint, terraform validate, Checkov, tfsec","IaC-Eval, TF-Gen, TF-Mutn",152k gen + 52k mutation,"pass@1, best_practices_compliance, security_compliance",plan_level,yes,"Checkov, tfsec","syntactic, semantic, deployability, security_governance",full,single_file,mixed,yes,absent,absent,+15.94% on IaC-Eval over base LLM. Outperforms 50x larger models on TF-Gen/TF-Mutn. Top security compliance. Neuro-symbolic approach.,yes,1,1,1,1,1,1,6,1,0.5,1.5,Strongest paper. Accepted ICSE 2026 SEIP. ONLY paper with explicit security compliance scoring via formal verification.
C03,"Khan, Wasif, et al.",2025,Multi-Agent Code-Orchestrated Generation for Reliable IaC (MACOG),arXiv,arxiv,10.48550/arXiv.2510.03902,generation,Terraform,AWS,"single_resource, module",multi_agent,"GPT-5, Gemini-2.5 Pro, Claude",not_reported,5+,closed_api,mixed,no,N/A,N/A,no,N/A,yes,Architect + Provider Harmonizer + Engineer + Reviewer + Security Prover + Cost Planner + DevOps + Memory Curator,"yes - Terraform Plan, OPA",IaC-Eval,458 scenarios,"pass@1, BLEU, CodeBERTScore, LLM-judge",plan_level,yes,OPA,"syntactic, semantic, security_governance",partial,single_file,synthetic,no,absent,absent,GPT-5: 54.90 (RAG) → 74.02 with MACOG. Includes Security Prover agent and OPA policy enforcement. Ablation shows constrained decoding and deploy feedback critical.,yes,1,0.5,0.5,1,0.5,0.5,4,0.5,0.5,1,Multi-agent with dedicated Security Prover. arXiv only.
C04,"Nekrasov, et al.",2025,IaC Generation with LLMs: An Error Taxonomy and Configuration Knowledge Injection,arXiv,arxiv,10.48550/arXiv.2512.14792,generation,Terraform,AWS,single_resource,rag,"GPT-4o, GPT-3.5",not_reported,2,closed_api,"zero-shot, retrieval-augmented",no,N/A,N/A,yes,"provider_docs, API_schemas (Naive RAG + Graph RAG)",no,N/A,no,IaC-Eval,458 scenarios,"pass@1, technical_validation_success, intent_compliance",static_only,no,none,"syntactic, semantic, provider_api_mismatch, llm_reasoning",partial,single_file,synthetic,yes,absent,absent,"Baseline 27.1% overall success. Knowledge injection: tech validation → 75.3%, overall → 62.6%. Identifies Correctness-Congruence Gap: LLMs become good coders but poor architects.",yes,1,1,0.5,1,0.5,0.5,4.5,0,0,0,Key contribution: two-dimensional error taxonomy (validation stage x failure pattern).
C05,"Srivatsa, Mukhopadhyay, Katrapati, Shrivastava",2023,A Survey of using Large Language Models for Generating Infrastructure as Code,ICON 2023 / arXiv,conference,10.48550/arXiv.2404.00227,mixed,Terraform,not_specified,not_specified,survey,"GPT-3.5, CodeParrot",not_reported,2,both,not_specified,no,N/A,N/A,no,N/A,no,N/A,no,none,49 tasks,N/A,not_tested,no,none,not_reported,none,not_specified,not_specified,no,absent,absent,"Only prior survey. GPT-3.5-Turbo: 59% accuracy, CodeParrot: 8% on small 49-task benchmark. Shallow coverage.",no,0.5,0,0,0,0,0,0.5,0,0,0,Published at ICON 2023 (small NLP conf). No systematic methodology. Useful only as baseline.
C06,"Davidson, Sun, et al.",2025,Multi-IaC-Eval: Benchmarking Cloud IaC Across Multiple Formats,arXiv,arxiv,10.48550/arXiv.2509.05303,"generation, mutation","Terraform, CloudFormation, CDK",AWS,"single_resource, full_stack",benchmark_only,multiple LLMs,not_reported,5+,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,no,Multi-IaC-Bench,CF + TF + CDK (Python 96 + TS 95),"pass@1, syntactic_validity, semantic_alignment",static_only,no,none,"syntactic, semantic",partial,single_file,mixed,no,absent,absent,>95% syntactic validity across formats but significant challenges in semantic alignment and complex patterns. First multi-format IaC benchmark.,yes,1,1,0.5,1,0.5,0.5,4.5,0,0,0,Extends IaC-Eval to CloudFormation and CDK. Covers AWS only.
C07,"Zhang, Pan, et al.",2025,Deployability-Centric IaC Generation (IaCGen),ESEC/FSE 2026,conference,10.48550/arXiv.2506.05623,generation,CloudFormation,AWS,single_resource,verifier_guided,"GPT-4o, GPT-o3-mini, Claude-3.5, Claude-3.7, DeepSeek-R1, DeepSeek-V3",not_reported,6,both,mixed,no,N/A,N/A,no,N/A,no,N/A,"yes - format verification, syntax checking, live deployment",DPIaC-Eval + IaC-Eval,153 CF scenarios + 458 TF,"passItr@1, passItr@5, passItr@7, user_req_coverage, security_compliance",full_deployment,yes,Checkov,"syntactic, semantic, deployability, security_governance",partial,single_file,realworld,no,absent,absent,Only 20.8% passItr@1 for deployability. IaCGen achieves 79.7% on TF. Security compliance: only 8.4%. User intent coverage: 25.2%. Critical need for security research.,yes,1,1,0.5,1,0.5,0.5,4.5,0.5,1,1.5,First deployability-centric benchmark. v3 adds security analysis. 8.4% security compliance is damning.
C08,"Palavalli, Santolucito",2024,Using a Feedback Loop for LLM-based IaC Generation,arXiv,arxiv,10.48550/arXiv.2411.19043,generation,CloudFormation,AWS,single_resource,verifier_guided,GPT-4o,not_reported,1,closed_api,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - grammar-aligned decoding + feedback,custom,not_reported,"pass@1, syntactic_validity",static_only,no,none,"syntactic, semantic",partial,single_file,synthetic,no,absent,absent,Feedback loop improves CloudFormation generation. Grammar-aligned decoding helps syntactic correctness.,yes,1,0.5,0.5,0.5,0.5,0.5,3.5,0,0,0,Early feedback loop work on CF. Single model tested.
C09,"Li, Grella, Nahmias, Engelberg, Klein, Guizzardi, et al.",2025,GenSIaC: Toward Security-Aware IaC Generation with LLMs,arXiv,arxiv,10.48550/arXiv.2511.12385,generation,"Ansible, Chef, Puppet",cloud-agnostic,not_specified,finetuning,"CodeLlama-13B, Vicuna, Llama2, GPT-3.5, GPT-4",not_reported,6+,both,mixed,yes,GenSIaC dataset (from 681+ repos),instruction fine-tuning,no,N/A,no,N/A,no,custom (GLITCH-based),GenSIaC dataset,"F1-score, precision, recall",not_tested,yes,custom (GLITCH),"security_governance, llm_reasoning",partial,single_file,realworld,no,absent,absent,F1: 0.303 to 0.858 after fine-tuning. Cross-language generalization works. First security-focused IaC generation study.,yes,1,1,0.5,1,0.5,0.5,4.5,1,0,1,KEY PAPER for security. Covers config mgmt IaC (Ansible/Chef/Puppet) not provisioning (TF/CF). Uses GLITCH for security weakness extraction.
C10,"Munshi, et al.",2025,ACSE-Eval: Can LLMs Threat Model Real-World Cloud Infrastructure?,ESORICS 2025 Workshops (Springer LNCS),workshop,10.48550/arXiv.2505.11565,validation,CDK (TypeScript),AWS,full_stack,prompting,"GPT-4.1, GPT-4o, Claude-3.5 Haiku, Claude-3.7 Sonnet, DeepSeek-V3, Gemini-2.5 Pro",specific versions reported,6,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,no,ACSE-Eval,100 AWS scenarios,"vulnerability_detection_coverage, analysis_comprehensiveness",not_tested,yes,custom security eval,"security_governance, llm_reasoning",partial,multi_file,realworld,no,absent,present,"GPT-4.1 and Gemini 2.5 Pro excel at threat identification. Gemini best in 0-shot, GPT-4.1 in few-shot. 100 production-grade scenarios with IaC + documented vulns.",yes,1,1,0.5,1,0.5,0.5,4.5,1,0,1,Tests LLM security reasoning ON IaC. Not generation but validation/analysis. Uses CDK TypeScript.
C11,Low et al.,2024,Repairing Infrastructure-as-Code using Large Language Models,IEEE conf,conference,10.1109/10734039,repair,Terraform,AWS,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,not_specified,no,N/A,N/A,no,N/A,no,N/A,not_specified,custom,not_specified,not_specified,not_tested,no,none,"syntactic, semantic, security_governance",not_specified,not_specified,not_specified,no,absent,absent,LLM for IaC misconfiguration repair. Addresses security misconfigs in Terraform. IEEE peer-reviewed.,not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Need full-text for complete extraction. IEEE peer-reviewed.
C12,Lee et al.,2024,An LLM-driven Framework for Dynamic IaC Generation,ACM Middleware 2024,conference,10.1145/3704440.3704778,generation,not_specified,not_specified,not_specified,rag,not_specified,not_reported,not_specified,not_specified,retrieval-augmented,no,N/A,N/A,yes,not_specified,no,N/A,not_specified,custom,not_specified,not_specified,not_tested,no,none,not_reported,not_specified,not_specified,not_specified,no,absent,absent,RAG + code ensemble for dynamic IaC generation. Addresses static template limitations.,not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Demo/poster paper from Middleware. Need full-text.
